test, device, access, stride, pattern, starting cpu, ending cpu, buffer size, memory type, delay injection, latency, bandwidth
bw, pmem0p1, seq, 4096, W6, 0, 23, 400000, dram, 0, 0.0, 3021.2
bw, pmem10, seq, 256, R, 0, 23, 400000, pmem, 0, 0.0, 89.9
bw, pmem10, seq, 512, W3, 0, 23, 400000, pmem, 0, 0.0, 133.4
bw, pmem10, seq, 64, W8, 0, 23, 400000, pmem, 0, 0.0, 118.4
bw, pmem0p1, rand, 4096, W7, 0, 23, 400000, pmem, 0, 2552.25, 823.1
bw, pmem10, seq, 512, W5, 0, 23, 400000, pmem, 0, 0.0, 199.3
bw, pmem0p1, seq, 256, W6, 0, 23, 400000, dram, 0, 0.0, 46595.0
bw, pmem0p1, seq, 512, W2, 0, 23, 400000, pmem, 0, 5819.37, 826.3
bw, nofile, rand, 32, W2, 0, 23, 400000, dram, 0, 0.0, 168987.2
bw, pmem0p1, rand, 64, R, 0, 23, 400000, pmem, 0, 5045.84, 1753.2
bw, pmem10, rand, 16, W5, 0, 23, 400000, pmem, 0, 0.0, 860.1
bw, pmem0p1, seq, 2048, W5, 0, 23, 400000, dram, 0, 0.0, 6558.6
bw, pmem10, seq, 64, W7, 0, 23, 400000, pmem, 0, 0.0, 142.1
bw, pmem0p1, seq, 512, W10, 0, 23, 400000, pmem, 0, 1126.45, 812.8
bw, nofile, rand, 2048, W2, 0, 23, 400000, dram, 0, 0.0, 6868.8
bw, pmem10, seq, 32, W2, 0, 23, 400000, dram, 0, 0.0, 204372.6
bw, pmem10, seq, 32, W7, 0, 23, 400000, dram, 0, 0.0, 164291.0
bw, pmem10, rand, 128, W2, 0, 23, 400000, pmem, 0, 0.0, 193.4
bw, pmem0p1, seq, 4096, W6, 0, 23, 400000, pmem, 0, 1830.82, 393.0
bw, pmem0p1, rand, 1024, W6, 0, 23, 400000, pmem, 0, 1827.11, 395.4
bw, pmem10, seq, 4096, W3, 0, 23, 400000, pmem, 0, 29877.81, 385.7
bw, pmem10, seq, 1024, W10, 0, 23, 400000, pmem, 0, 0.0, 162.0
bw, pmem0p1, seq, 16, W3, 0, 23, 400000, pmem, 0, 805.32, 5149.4
bw, pmem0p1, rand, 16, W6, 0, 23, 400000, pmem, 0, 320.79, 409.5
bw, pmem10, rand, 2048, R, 0, 23, 400000, pmem, 0, 5602.92, 1703.6
bw, pmem10, rand, 128, W6, 0, 23, 400000, pmem, 0, 0.0, 107.2
bw, pmem10, rand, 16, W6, 0, 23, 400000, pmem, 0, 0.0, 97.0
bw, pmem0p1, rand, 256, R, 0, 23, 400000, dram, 0, 0.0, 54063.4
bw, pmem10, rand, 16, R, 0, 23, 400000, dram, 0, 0.0, 395275.5
bw, pmem0p1, rand, 2048, W2, 0, 23, 400000, dram, 0, 0.0, 6869.1
bw, nofile, seq, 1024, W6, 0, 23, 400000, dram, 0, 0.0, 11976.4
bw, nofile, seq, 2048, W3, 0, 23, 400000, dram, 0, 0.0, 7166.0
bw, pmem10, seq, 256, W3, 0, 23, 400000, pmem, 0, 0.0, 101.9
bw, pmem0p1, rand, 4096, W2, 0, 23, 400000, dram, 0, 0.0, 3487.3
bw, pmem10, seq, 1024, W8, 0, 23, 400000, pmem, 0, 0.0, 115.5
bw, pmem0p1, seq, 512, W5, 0, 23, 400000, pmem, 0, 0.0, 652.3
bw, nofile, seq, 32, R, 0, 23, 400000, dram, 0, 0.0, 216497.5
bw, pmem0p1, seq, 32, W8, 0, 23, 400000, pmem, 0, 227.3, 2631.8
bw, nofile, rand, 256, W5, 0, 23, 400000, dram, 0, 0.0, 44651.2
bw, pmem0p1, seq, 16, W7, 0, 23, 400000, dram, 0, 0.0, 101131.7
bw, pmem0p1, rand, 512, W6, 0, 23, 400000, dram, 0, 0.0, 20893.7
bw, pmem10, seq, 64, W3, 0, 23, 400000, pmem, 0, 0.0, 204.4
bw, pmem0p1, seq, 512, W6, 0, 23, 400000, pmem, 0, 1224.43, 410.8
bw, pmem10, seq, 64, W3, 0, 23, 400000, dram, 0, 0.0, 103033.7
bw, pmem10, seq, 4096, R, 0, 23, 400000, dram, 0, 0.0, 3910.3
bw, pmem0p1, seq, 128, W3, 0, 23, 400000, dram, 0, 0.0, 64934.0
bw, pmem0p1, seq, 128, W6, 0, 23, 400000, dram, 0, 0.0, 68065.6
bw, pmem10, rand, 64, W7, 0, 23, 400000, dram, 0, 0.0, 87727.2
bw, pmem10, rand, 512, W2, 0, 23, 400000, dram, 0, 0.0, 24840.6
bw, nofile, rand, 1024, W5, 0, 23, 400000, dram, 0, 0.0, 12395.7
bw, pmem0p1, seq, 4096, W10, 0, 23, 400000, pmem, 0, 1356.8, 370.3
bw, pmem10, rand, 512, W6, 0, 23, 400000, dram, 0, 0.0, 20930.8
bw, nofile, seq, 16, W5, 0, 23, 400000, dram, 0, 0.0, 391369.7
bw, pmem10, seq, 16, W6, 0, 23, 400000, pmem, 0, 0.0, 403.7
bw, pmem10, rand, 256, W6, 0, 23, 400000, dram, 0, 0.0, 42087.4
bw, pmem10, seq, 256, W10, 0, 23, 400000, dram, 0, 0.0, 42309.5
bw, pmem0p1, seq, 16, W6, 0, 23, 400000, pmem, 0, 105.44, 2033.6
bw, nofile, rand, 512, W2, 0, 23, 400000, dram, 0, 0.0, 24780.0
bw, pmem0p1, rand, 16, W2, 0, 23, 400000, pmem, 0, 1597.6, 3564.8
bw, pmem10, rand, 1024, R, 0, 23, 400000, dram, 0, 0.0, 14876.2
bw, pmem10, seq, 128, W7, 0, 23, 400000, pmem, 0, 0.0, 107.3
bw, nofile, seq, 4096, W6, 0, 23, 400000, dram, 0, 0.0, 3020.7
bw, pmem0p1, rand, 64, W2, 0, 23, 400000, pmem, 0, 6072.92, 843.3
bw, pmem10, seq, 1024, R, 0, 23, 400000, dram, 0, 0.0, 15471.1
bw, pmem0p1, seq, 32, W10, 0, 23, 400000, dram, 0, 0.0, 159993.3
bw, pmem0p1, seq, 1024, W2, 0, 23, 400000, dram, 0, 0.0, 13705.5
bw, pmem10, seq, 64, W10, 0, 23, 400000, dram, 0, 0.0, 92000.9
bw, pmem0p1, seq, 512, W10, 0, 23, 400000, dram, 0, 0.0, 24060.0
bw, pmem10, rand, 32, W6, 0, 23, 400000, dram, 0, 0.0, 6593.1
bw, nofile, seq, 16, R, 0, 23, 400000, dram, 0, 0.0, 433203.1
bw, pmem10, seq, 2048, W10, 0, 23, 400000, dram, 0, 0.0, 6795.8
bw, pmem10, seq, 16, W2, 0, 23, 400000, pmem, 0, 0.0, 808.3
bw, pmem10, seq, 64, R, 0, 23, 400000, pmem, 0, 0.0, 211.3
bw, nofile, rand, 1024, R, 0, 23, 400000, dram, 0, 0.0, 14895.0
